Datat,Label
-6.01,Notstressed
-8.02,Notstressed
-10.67,Notstressed
-13.93,Notstressed
-17.67,Notstressed
-21.64,Notstressed
-25.47,Notstressed
-28.67,Notstressed
-30.62,Notstressed
-30.72,Notstressed
-28.64,Notstressed
-24.45,Notstressed
-18.74,Notstressed
-12.41,Notstressed
-6.41,Notstressed
-1.42,Notstressed
2.27,Notstressed
4.78,Notstressed
6.38,Notstressed
7.37,Notstressed
7.86,Notstressed
7.9,Notstressed
7.56,Notstressed
6.99,Notstressed
6.51,Notstressed
6.41,Notstressed
6.88,Notstressed
7.92,Notstressed
9.31,Notstressed
10.72,Notstressed
11.9,Notstressed
12.66,Notstressed
12.99,Notstressed
12.98,Notstressed
12.72,Notstressed
12.3,Notstressed
11.77,Notstressed
11.13,Notstressed
10.4,Notstressed
9.53,Notstressed
8.51,Notstressed
7.38,Notstressed
6.18,Notstressed
5.03,Notstressed
4.05,Notstressed
3.29,Notstressed
2.67,Notstressed
2,Notstressed
1.03,Notstressed
-0.48,Notstressed
-2.61,Notstressed
-5.29,Notstressed
-8.24,Notstressed
-11.03,Notstressed
-13.17,Notstressed
-14.19,Notstressed
-13.75,Notstressed
-11.74,Notstressed
-8.34,Notstressed
-4.04,Notstressed
0.51,Notstressed
4.64,Notstressed
7.84,Notstressed
9.84,Notstressed
10.66,Notstressed
10.48,Notstressed
9.51,Notstressed
7.94,Notstressed
5.88,Notstressed
3.44,Notstressed
0.81,Notstressed
-1.7,Notstressed
-3.75,Notstressed
-5.02,Notstressed
-5.36,Notstressed
-4.85,Notstressed
-3.73,Notstressed
-2.31,Notstressed
-0.87,Notstressed
0.45,Notstressed
1.6,Notstressed
2.55,Notstressed
3.29,Notstressed
3.72,Notstressed
3.71,Notstressed
3.14,Notstressed
1.95,Notstressed
0.2,Notstressed
-1.94,Notstressed
-4.19,Notstressed
-6.29,Notstressed
-8.03,Notstressed
-9.38,Notstressed
-10.51,Notstressed
-11.7,Notstressed
-13.23,Notstressed
-15.3,Notstressed
-17.93,Notstressed
-20.94,Notstressed
-24.05,Notstressed
-26.84,Notstressed
-28.88,Notstressed
-29.77,Notstressed
-29.22,Notstressed
-27.15,Notstressed
-23.73,Notstressed
-19.37,Notstressed
-14.63,Notstressed
-10.06,Notstressed
-6.06,Notstressed
-2.76,Notstressed
-0.14,Notstressed
1.9,Notstressed
3.4,Notstressed
4.3,Notstressed
4.49,Notstressed
3.93,Notstressed
2.79,Notstressed
1.45,Notstressed
0.36,Notstressed
-0.06,Notstressed
0.32,Notstressed
1.37,Notstressed
2.74,Notstressed
4.1,Notstressed
5.23,Notstressed
6.07,Notstressed
6.68,Notstressed
7.08,Notstressed
7.2,Notstressed
6.9,Notstressed
6.09,Notstressed
4.79,Notstressed
3.17,Notstressed
1.42,Notstressed
-0.33,Notstressed
-2.07,Notstressed
-3.87,Notstressed
-5.84,Notstressed
-7.99,Notstressed
-10.29,Notstressed
-12.67,Notstressed
-15.05,Notstressed
-17.41,Notstressed
-19.78,Notstressed
-22.15,Notstressed
-24.45,Notstressed
-26.46,Notstressed
-27.84,Notstressed
-28.15,Notstressed
-27.02,Notstressed
-24.26,Notstressed
-20,Notstressed
-14.68,Notstressed
-8.95,Notstressed
-3.51,Notstressed
1.07,Notstressed
4.49,Notstressed
6.7,Notstressed
7.82,Notstressed
8.07,Notstressed
7.69,Notstressed
6.91,Notstressed
5.96,Notstressed
5.1,Notstressed
4.57,Notstressed
4.51,Notstressed
4.91,Notstressed
5.57,Notstressed
6.23,Notstressed
6.61,Notstressed
6.6,Notstressed
6.27,Notstressed
5.81,Notstressed
5.44,Notstressed
5.24,Notstressed
5.15,Notstressed
4.97,Notstressed
4.51,Notstressed
3.7,Notstressed
2.6,Notstressed
1.37,Notstressed
0.19,Notstressed
-0.87,Notstressed
-1.82,Notstressed
-2.76,Notstressed
-3.87,Notstressed
-5.34,Notstressed
-7.32,Notstressed
-9.95,Notstressed
-13.2,Notstressed
-16.82,Notstressed
-20.29,Notstressed
-22.9,Notstressed
-23.89,Notstressed
-22.74,Notstressed
-19.33,Notstressed
-14.12,Notstressed
-7.91,Notstressed
-1.71,Notstressed
3.68,Notstressed
7.76,Notstressed
10.46,Notstressed
11.99,Notstressed
12.63,Notstressed
12.61,Notstressed
12.11,Notstressed
11.2,Notstressed
10,Notstressed
8.64,Notstressed
7.31,Notstressed
6.19,Notstressed
5.4,Notstressed
4.97,Notstressed
4.85,Notstressed
4.95,Notstressed
5.18,Notstressed
5.43,Notstressed
5.58,Notstressed
5.52,Notstressed
5.12,Notstressed
4.26,Notstressed
2.91,Notstressed
1.16,Notstressed
-0.76,Notstressed
-2.55,Notstressed
-3.87,Notstressed
-4.42,Notstressed
-4.05,Notstressed
